study,model,n_rows,mae,rmse,r2
Hatem Kh. MOHAMED_2050,ANN,1,15.086507746179862,15.086507746179862,
Hatem Kh. MOHAMED_2050,Cubist,1,5.3093109130859375,5.3093109130859375,
Hatem Kh. MOHAMED_2050,RF,1,6.211629899196822,6.211629899196822,
Hatem Kh. MOHAMED_2050,XGB,1,2.2522506713867188,2.2522506713867188,
Hatem Kh. MOHAMED_2050,HistGB,1,1.2429836485302133,1.2429836485302133,
Jianyang Gao_2022,LR,39,23.125347807735416,26.304184980634684,-0.293233783930952
Jianyang Gao_2022,KNN,39,21.48046213773449,24.225567992231984,-0.09692081598344116
Jianyang Gao_2022,ANN,39,34.04489593400662,42.70921462593882,-2.4093415561105243
Jianyang Gao_2022,Cubist,39,22.080397997239647,27.2477613177523,-0.3876789298921479
Jianyang Gao_2022,RF,39,28.767228443295252,32.730352217675716,-1.0022979336349493
Jianyang Gao_2022,XGB,39,25.384862098811713,28.70289566919819,-0.5398512370422703
Jianyang Gao_2022,HistGB,39,25.312085913887408,29.45842319410388,-0.6219831386795434
L. Santamaría_2020,LR,220,35.75711443731241,40.73099453626768,-2.6718828532665824
L. Santamaría_2020,KNN,220,22.37128787878788,29.930324760646652,-0.982721183380592
L. Santamaría_2020,ANN,220,59.13717321326749,62.41976622891615,-7.623489996013731
L. Santamaría_2020,Cubist,220,23.339126271912548,26.564822452011406,-0.5618978368854886
L. Santamaría_2020,RF,220,21.050333870821515,23.49604638892102,-0.22187947636918426
L. Santamaría_2020,XGB,220,18.325017397331468,20.53054958590461,0.06708959120177105
L. Santamaría_2020,HistGB,220,18.289543727714232,20.99753043265567,0.024167615019868527
Mehak Bansal_2025,LR,18,10.432088038526814,12.483111764892211,-0.6967937284001278
Mehak Bansal_2025,KNN,18,45.81018518518518,47.718604344818004,-23.794696617318635
Mehak Bansal_2025,ANN,18,56.022788642092735,56.850424352431155,-34.19255143728697
Mehak Bansal_2025,Cubist,18,12.820087521164506,14.639990592295113,-1.3338069444762621
